character,true_emotion,sentence,raw_response,predicted_emotion,predicted_score,time,status
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,今天小明哭著說他不想上學，我聽了心好酸，還是忍不住陪他坐了一整節課。,"情緒：悲傷
程度：0.8",悲傷,0.8,2.2642762660980225,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,那棵我們一起種的小樹被風吹倒了，孩子們看到的時候眼眶都紅了，我也好難過。,"情緒：悲傷
程度：0.85",悲傷,0.85,0.8536550998687744,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,每次畢業季，看著孩子們一個個離開，心裡真的五味雜陳，很捨不得啊。,"情緒：悲傷
程度：0.8",悲傷,0.8,0.943579912185669,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,剛才批改作文，有個孩子寫他爸爸又喝醉打人，我看得真的很心痛。,"情緒：悲傷
程度：0.8",悲傷,0.8,0.8055109977722168,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,今天早上收到通知，小玲轉學了，連句道別都沒說，教室都空了一塊似的。,"情緒：悲傷
程度：0.8",悲傷,0.8,1.079253911972046,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,有些孩子明明很聰明，卻因為家庭環境跟不上進度，我心裡真的很無力。,"情緒：悲傷
程度：0.8",悲傷,0.8,0.735083818435669,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,前幾年教過的小哲出車禍過世了，真不敢相信那麼陽光的孩子就這樣走了⋯⋯,"情緒：悲傷
程度：0.95",悲傷,0.95,0.8414866924285889,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,最近壓力有點大，回到家只想靜靜地坐著，什麼都不想講。,"情緒：悲傷
程度：0.7",悲傷,0.7,0.8525381088256836,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,我盡力想讓每個孩子都被看見，可有時候還是會覺得自己做得不夠好。,"情緒：悲傷
程度：0.6",悲傷,0.6,0.8424749374389648,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,有學生偷拿東西被抓，我當下其實很難過，因為我知道他不是壞孩子。,"情緒：悲傷
程度：0.8",悲傷,0.8,1.2309980392456055,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,我真的不能接受家長用手機罵孩子，那不是教育，那是情緒發洩！,"情緒：憤怒
程度：0.85",憤怒,0.85,1.4551079273223877,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,明明我提了三次學校設備要修，結果又拖了一個學期，真的氣人。,"情緒：憤怒
程度：0.85",憤怒,0.85,1.2463948726654053,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,有些人老是把老師當保母，孩子的一切都丟給我們管，這樣對嗎？,"情緒：憤怒
程度：0.7",憤怒,0.7,0.8470959663391113,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,那位男老師竟然在會議上打斷我三次，完全不尊重別人發言！,"情緒：憤怒
程度：0.85",憤怒,0.85,0.8664016723632812,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,今天看到有人在黑板上亂畫，還說是「藝術」，根本不尊重教室環境！,"情緒：憤怒
程度：0.8",憤怒,0.8,0.9894819259643555,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,我講了一整週的科展規則，還是有學生交白卷，真的氣又無奈。,"情緒：憤怒
程度：0.8",憤怒,0.8,0.7278268337249756,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,小華媽媽又遲到了快一小時來接人，孩子都快哭出來了，她好像完全不在意。,"情緒：憤怒
程度：0.7",憤怒,0.7,0.7264127731323242,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,教育部又下新指令，沒提前說，逼老師們臨時加班，誰來體諒我們？,"情緒：憤怒
程度：0.85",憤怒,0.85,1.09944486618042,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,批改考卷發現好幾題一模一樣，學生說沒抄，當我是笨蛋嗎？,"情緒：憤怒
程度：0.85",憤怒,0.85,3.423011064529419,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,有人說「老師就只是個拿固定薪水的」，這種話真的很刺耳！,"情緒：憤怒
程度：0.85",憤怒,0.85,0.7981529235839844,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,哇！我真的沒想到小君居然會主動幫同學收作業，以前他可是最愛賴皮的呢！,"情緒：驚奇
程度：0.8",驚奇,0.8,0.8248651027679443,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,今天午休走進教室，居然看到孩子們自己在靜靜看書，我差點以為走錯班。,"情緒：驚奇
程度：0.7",驚奇,0.7,1.0551528930664062,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,校長竟然說要讓我們老師決定課表順序？第一次聽到這種開放政策耶！,"情緒：驚奇
程度：0.8",驚奇,0.8,0.9112410545349121,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,小志居然寫了整整三頁自然觀察日誌，我以為他只會畫火柴人呢！,"情緒：驚奇
程度：0.8",驚奇,0.8,0.7036178112030029,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,剛剛回家看到先生洗好碗還拖了地，差點以為我在作夢！,"情緒：驚奇
程度：0.8",驚奇,0.8,0.668241024017334,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,我學生在自然科比賽拿了全國第三名，天啊我真的快哭了！,"情緒：喜悅
程度：0.95",喜悅,0.95,0.9960289001464844,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,原來學校後面那棵樹是台灣原生種！教了這麼多年我居然沒發現。,"情緒：驚奇
程度：0.7",驚奇,0.7,1.7914371490478516,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,今天午餐的便當居然有水果！第一次看到營養午餐有這麼用心的設計。,"情緒：驚奇
程度：0.7",驚奇,0.7,0.9692041873931885,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,有個孩子用廢紙做了一個太陽能烤箱，我真的是又驚又喜！,"情緒：驚奇
程度：0.9",驚奇,0.9,1.0663831233978271,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,下課時突然有家長來送手工餅乾給我，說孩子變得喜歡學習了，好感動也好意外。,"情緒：驚奇
程度：0.85",驚奇,0.85,0.9045901298522949,200
