character,true_emotion,sentence,predicted_emotion,intensity_level,raw_response,api_time,api_status
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,今天小明哭著說他不想上學，我聽了心好酸，還是忍不住陪他坐了一整節課。,悲傷,Medium,"情緒：悲傷
強度：Medium",0.8385322093963623,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,那棵我們一起種的小樹被風吹倒了，孩子們看到的時候眼眶都紅了，我也好難過。,悲傷,Medium,"情緒：悲傷
強度：Medium",0.915611982345581,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,每次畢業季，看著孩子們一個個離開，心裡真的五味雜陳，很捨不得啊。,悲傷,Medium,"情緒：悲傷
強度：Medium",0.9949421882629395,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,剛才批改作文，有個孩子寫他爸爸又喝醉打人，我看得真的很心痛。,悲傷,Medium,"情緒：悲傷
強度：Medium",0.8096849918365479,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,今天早上收到通知，小玲轉學了，連句道別都沒說，教室都空了一塊似的。,悲傷,Medium,"情緒：悲傷
強度：Medium",0.844578742980957,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,有些孩子明明很聰明，卻因為家庭環境跟不上進度，我心裡真的很無力。,悲傷,Medium,"情緒：悲傷
強度：Medium",0.799605131149292,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,前幾年教過的小哲出車禍過世了，真不敢相信那麼陽光的孩子就這樣走了⋯⋯,悲傷,Medium,"情緒：悲傷
強度：Medium",0.7348549365997314,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,最近壓力有點大，回到家只想靜靜地坐著，什麼都不想講。,悲傷,Low,"情緒：悲傷
強度：Low",1.041011095046997,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,我盡力想讓每個孩子都被看見，可有時候還是會覺得自己做得不夠好。,悲傷,Low,"情緒：悲傷
強度：Low",0.7456352710723877,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,有學生偷拿東西被抓，我當下其實很難過，因為我知道他不是壞孩子。,悲傷,Medium,"情緒：悲傷
強度：Medium",0.7621979713439941,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,我真的不能接受家長用手機罵孩子，那不是教育，那是情緒發洩！,憤怒,High,"情緒：憤怒
強度：High",0.843390941619873,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,明明我提了三次學校設備要修，結果又拖了一個學期，真的氣人。,憤怒,High,"情緒：憤怒
強度：High",0.802130937576294,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,有些人老是把老師當保母，孩子的一切都丟給我們管，這樣對嗎？,憤怒,Medium,"情緒：憤怒
強度：Medium",0.8400850296020508,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,那位男老師竟然在會議上打斷我三次，完全不尊重別人發言！,憤怒,High,"情緒：憤怒
強度：High",0.6296451091766357,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,今天看到有人在黑板上亂畫，還說是「藝術」，根本不尊重教室環境！,憤怒,Medium,"情緒：憤怒
強度：Medium",0.7386078834533691,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,我講了一整週的科展規則，還是有學生交白卷，真的氣又無奈。,憤怒,High,"情緒：憤怒
強度：High",0.9402079582214355,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,小華媽媽又遲到了快一小時來接人，孩子都快哭出來了，她好像完全不在意。,厭惡,Medium,"情緒：厭惡
強度：Medium",1.050464153289795,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,教育部又下新指令，沒提前說，逼老師們臨時加班，誰來體諒我們？,憤怒,High,"情緒：憤怒
強度：High",0.9403541088104248,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,批改考卷發現好幾題一模一樣，學生說沒抄，當我是笨蛋嗎？,憤怒,High,"情緒：憤怒
強度：High",0.8719010353088379,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,有人說「老師就只是個拿固定薪水的」，這種話真的很刺耳！,憤怒,High,"情緒：憤怒
強度：High",0.8116331100463867,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,哇！我真的沒想到小君居然會主動幫同學收作業，以前他可是最愛賴皮的呢！,驚奇,Medium,"情緒：驚奇
強度：Medium",0.7355442047119141,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,今天午休走進教室，居然看到孩子們自己在靜靜看書，我差點以為走錯班。,驚奇,Medium,"情緒：驚奇
強度：Medium",1.2396671772003174,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,校長竟然說要讓我們老師決定課表順序？第一次聽到這種開放政策耶！,驚奇,Medium,"情緒：驚奇
強度：Medium",0.9134061336517334,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,小志居然寫了整整三頁自然觀察日誌，我以為他只會畫火柴人呢！,驚奇,Medium,"情緒：驚奇
強度：Medium",0.69588303565979,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,剛剛回家看到先生洗好碗還拖了地，差點以為我在作夢！,驚奇,Medium,"情緒：驚奇
強度：Medium",0.8966991901397705,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,我學生在自然科比賽拿了全國第三名，天啊我真的快哭了！,喜悅,High,"情緒：喜悅
強度：High",0.7761311531066895,200
