character,true_emotion,sentence,predicted_emotion,tension_modifier,tension_idiom,tension_degree_head,tension_word_count,tension_score,raw_response,api_time,api_status
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,今天小明哭著說他不想上學，我聽了心好酸，還是忍不住陪他坐了一整節課。,悲傷,1,0,0,26,0.04,"情緒：悲傷
Modifier：1
Idiom：0
DegreeHead：0
WordCount：26  
Tension：0.04",1.3862321376800537,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,那棵我們一起種的小樹被風吹倒了，孩子們看到的時候眼眶都紅了，我也好難過。,悲傷,2,0,1,23,0.22,"情緒：悲傷
Modifier：2
Idiom：0
DegreeHead：1
WordCount：23  
Tension：0.22",1.3840441703796387,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,每次畢業季，看著孩子們一個個離開，心裡真的五味雜陳，很捨不得啊。,悲傷,2,1,1,18,0.33,"情緒：悲傷
Modifier：2
Idiom：1
DegreeHead：1
WordCount：18  
Tension：0.33",1.3396790027618408,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,剛才批改作文，有個孩子寫他爸爸又喝醉打人，我看得真的很心痛。,悲傷,2,0,1,20,0.25,"情緒：悲傷
Modifier：2
Idiom：0
DegreeHead：1
WordCount：20  
Tension：0.25",0.9381318092346191,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,今天早上收到通知，小玲轉學了，連句道別都沒說，教室都空了一塊似的。,悲傷,2,0,0,20,0.1,"情緒：悲傷
Modifier：2
Idiom：0
DegreeHead：0
WordCount：20  
Tension：0.10",3.4759998321533203,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,有些孩子明明很聰明，卻因為家庭環境跟不上進度，我心裡真的很無力。,悲傷,2,0,2,18,0.44,"情緒：悲傷
Modifier：2
Idiom：0
DegreeHead：2
WordCount：18  
Tension：0.44",1.4709980487823486,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,前幾年教過的小哲出車禍過世了，真不敢相信那麼陽光的孩子就這樣走了⋯⋯,悲傷,2,0,1,22,0.23,"情緒：悲傷
Modifier：2
Idiom：0
DegreeHead：1
WordCount：22
Tension：0.23",1.1248142719268799,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,最近壓力有點大，回到家只想靜靜地坐著，什麼都不想講。,悲傷,2,0,1,17,0.29,"情緒：悲傷
Modifier：2
Idiom：0
DegreeHead：1
WordCount：17  
Tension：0.29",1.0561718940734863,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,我盡力想讓每個孩子都被看見，可有時候還是會覺得自己做得不夠好。,悲傷,1,0,0,19,0.05,"情緒：悲傷
Modifier：1
Idiom：0
DegreeHead：0
WordCount：19  
Tension：0.05",1.351938009262085,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,有學生偷拿東西被抓，我當下其實很難過，因為我知道他不是壞孩子。,悲傷,2,0,1,19,0.32,"情緒：悲傷
Modifier：2
Idiom：0
DegreeHead：1
WordCount：19  
Tension：0.32",1.4239661693572998,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,我真的不能接受家長用手機罵孩子，那不是教育，那是情緒發洩！,憤怒,2,0,1,19,0.37,"情緒：憤怒
Modifier：2
Idiom：0
DegreeHead：1
WordCount：19  
Tension：0.37",1.2726387977600098,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,明明我提了三次學校設備要修，結果又拖了一個學期，真的氣人。,憤怒,1,0,1,20,0.2,"情緒：憤怒
Modifier：1
Idiom：0
DegreeHead：1
WordCount：20  
Tension：0.20",0.9014577865600586,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,有些人老是把老師當保母，孩子的一切都丟給我們管，這樣對嗎？,憤怒,1,0,0,23,0.04,"情緒：憤怒
Modifier：1
Idiom：0
DegreeHead：0
WordCount：23  
Tension：0.04",0.8553850650787354,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,那位男老師竟然在會議上打斷我三次，完全不尊重別人發言！,憤怒,2,0,1,16,0.31,"情緒：憤怒
Modifier：2
Idiom：0
DegreeHead：1
WordCount：16  
Tension：0.31",3.344609022140503,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,今天看到有人在黑板上亂畫，還說是「藝術」，根本不尊重教室環境！,憤怒,1,0,1,22,0.18,"情緒：憤怒
Modifier：1
Idiom：0
DegreeHead：1
WordCount：22  
Tension：0.18",1.4499127864837646,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,我講了一整週的科展規則，還是有學生交白卷，真的氣又無奈。,憤怒,2,0,1,18,0.28,"情緒：憤怒
Modifier：2
Idiom：0
DegreeHead：1
WordCount：18  
Tension：0.28",2.502662181854248,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,小華媽媽又遲到了快一小時來接人，孩子都快哭出來了，她好像完全不在意。,厭惡,2,0,2,23,0.35,"情緒：厭惡
Modifier：2
Idiom：0
DegreeHead：2
WordCount：23  
Tension：0.35",1.0884630680084229,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,教育部又下新指令，沒提前說，逼老師們臨時加班，誰來體諒我們？,憤怒,2,0,0,19,0.11,"情緒：憤怒
Modifier：2
Idiom：0
DegreeHead：0
WordCount：19  
Tension：0.11",1.262641191482544,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,批改考卷發現好幾題一模一樣，學生說沒抄，當我是笨蛋嗎？,憤怒,2,0,1,18,0.28,"情緒：憤怒
Modifier：2
Idiom：0
DegreeHead：1
WordCount：18  
Tension：0.28",0.9404301643371582,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,有人說「老師就只是個拿固定薪水的」，這種話真的很刺耳！,憤怒,1,0,1,17,0.24,"情緒：憤怒
Modifier：1
Idiom：0
DegreeHead：1
WordCount：17  
Tension：0.24",1.9848859310150146,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,哇！我真的沒想到小君居然會主動幫同學收作業，以前他可是最愛賴皮的呢！,驚奇,3,0,1,19,0.42,"情緒：驚奇
Modifier：3
Idiom：0
DegreeHead：1
WordCount：19  
Tension：0.42",1.6375830173492432,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,今天午休走進教室，居然看到孩子們自己在靜靜看書，我差點以為走錯班。,驚奇,2,0,1,21,0.29,"情緒：驚奇
Modifier：2
Idiom：0
DegreeHead：1
WordCount：21  
Tension：0.29",1.1061820983886719,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,校長竟然說要讓我們老師決定課表順序？第一次聽到這種開放政策耶！,驚奇,1,0,1,20,0.2,"情緒：驚奇
Modifier：1
Idiom：0
DegreeHead：1
WordCount：20  
Tension：0.20",1.22536301612854,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,小志居然寫了整整三頁自然觀察日誌，我以為他只會畫火柴人呢！,驚奇,1,0,1,18,0.22,"情緒：驚奇
Modifier：1
Idiom：0
DegreeHead：1
WordCount：18  
Tension：0.22",2.4371321201324463,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,剛剛回家看到先生洗好碗還拖了地，差點以為我在作夢！,驚奇,2,0,0,16,0.13,"情緒：驚奇
Modifier：2
Idiom：0
DegreeHead：0
WordCount：16
Tension：0.13",0.9984471797943115,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,我學生在自然科比賽拿了全國第三名，天啊我真的快哭了！,喜悅,2,0,2,16,0.38,"情緒：喜悅
Modifier：2
Idiom：0
DegreeHead：2
WordCount：16  
Tension：0.38",1.056823968887329,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,原來學校後面那棵樹是台灣原生種！教了這麼多年我居然沒發現。,驚奇,0,0,1,18,0.11,"情緒：驚奇
Modifier：0
Idiom：0
DegreeHead：1
WordCount：18
Tension：0.11",1.246079921722412,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,今天午餐的便當居然有水果！第一次看到營養午餐有這麼用心的設計。,驚奇,1,0,1,17,0.24,"情緒：驚奇
Modifier：1
Idiom：0
DegreeHead：1
WordCount：17  
Tension：0.24",1.287611961364746,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,有個孩子用廢紙做了一個太陽能烤箱，我真的是又驚又喜！,驚奇,1,0,1,16,0.19,"情緒：驚奇
Modifier：1
Idiom：0
DegreeHead：1
WordCount：16  
Tension：0.19",1.0749058723449707,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,驚奇,下課時突然有家長來送手工餅乾給我，說孩子變得喜歡學習了，好感動也好意外。,驚奇,2,0,2,26,0.23,"情緒：驚奇
Modifier：2
Idiom：0
DegreeHead：2
WordCount：26  
Tension：0.23",1.2859349250793457,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,信任,我相信你們每個人都有能力理解這個實驗的原理，只要願意多花點時間。,信任,2,0,1,18,0.28,"情緒：信任
Modifier：2
Idiom：0
DegreeHead：1
WordCount：18  
Tension：0.28",1.695929765701294,200
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,信任,小傑，我知道你最近有點分心，但我相信你會找回學習的節奏。,信任,1,0,1,17,0.18,"情緒：信任
Modifier：1
Idiom：0
DegreeHead：1
WordCount：17  
Tension：0.18",1.0039539337158203,200
