,message
0,我的手機應用
1,但不知情
2,吸塵器有保固嗎?
8,Hi2
10,哈嘍
12,喔是喔
14,真的嗎?
16,好吧
18,誰是?
21,誰
24,誰是Ray?
27,文字訊息2
28,Ray
31,誰是Katrina?
41,誰是Tristan?
52,誰是
58,誰是T
61,是
63,是誰
66,TRISTAN
71,顯示文字
72,秘境花園
73,你好
74,??
75,????????
76,？？？？？
78,洗衣機
80,UAT-FlowChatSP
82,哈哈哈
86,有人在嗎?
94,冷氣有保固嗎?
98,冰櫃保固多久?
106,？？
108,你
117,你是誰?
119,?????????????
122,"為什麼會有這種活動🤣🤣🤣
蔡英文妳再等一下不要亂跑，
1450車隊來接妳了！

https://facebook.com/events/s/%E5%8E%BB%E6%B5%B7%E9%82%8A%E6%8A%8A%E8%94%A1%E8%8B%B1%E6%96%87%E6%8E%A5%E5%9B%9E%E4%BE%86/3606671026285180/"
123,"為什麼很多白領、高知識份子，會支持柯文哲？

因為他們跟柯一樣，以為自己多看了一點書，就什麼都會；出一張嘴，什麼事都能說出看法或建議，特別愛""指教""別人做事。俗諺有云：「男人四十只剩一張嘴」，也有稍微點破這種現象。

選民會因候選人""跟我很像""，或是因為""我也想跟他一樣""而支持某人，這是一種慣性思維。"
124,哈囉
126,OOXX
139,我是誰?
141,我是誰
146,"如果你不想看到
糟糕的事情又冒出來、
糟糕的人物回到舞台，
那麼，1/13請一定要站出來！

選對的人走對的路
https://youtu.be/D_BtA5KWPtc?si=kJAuReg6KEJ3lT97"
147,😡
148,"台灣的「鬼島」臭名，在馬英九時期達到巔峰，到民進黨這八年則逐漸無人再提。

馬英九的633承諾跳票，蔡英文卻實現了。
"
149,489820590476362109
150,489820714057335345
151,489827570889261636
152,😎
153,我可以查訂單嗎？
155,今天氣溫如何?
158,"1. 訂閱費用：訂閱當日(含)~當月月底，按比例收費，例如1月到31日、2月到28日等
2. 自動化之後，CSS仍須每月進行對帳，以確保綠界/3.0相符
3. 人工訂閱：每月只產生一張訂單，包含月租費與變動費用
4. Kai與Jacky確認綠界刷卡連結的欄位資料規則"
159,"1. 訂閱費用：訂閱當日(含)~當月月底，按比例收費，例如1月到31日、2月到28日等
2. 自動化之後，CSS仍須每月進行對帳，以確保綠界/3.0相符 - 請Kai建立SOP
3. 人工訂閱：每月只產生一張訂單，包含月租費與變動費用 - 請CSS調整SOP
4. Kai與Jacky確認綠界刷卡連結的欄位資料規則
5. 人工訂閱：要手動幫用戶(品牌站台管理員)添加Admin角色權限"
160,請問訂單怎麼查詢
162,TEST3
163,123
165,test3
169,489978676495254118
171,489978676931986034
172,489978717381853619
173,?????????????????
174,??????????????????
175,冰箱保固多久?
176,????????????
178,??????????????
180,提問提問
182,489981796252123484
184,489981796839063738
186,hello
188,hello?
190,489981945384534486
198,哈迪！哈
199,我勒
200,"882bflru
"
202,FMR13第二句
203,天氣好嗎/
205,我有貼標a1嗎?
210,現在超過晚上6點了嗎?
212,正面還反面?
228,幫我轉接真人
231,jacky有保固嗎?
233,保固
234,testtest 
237,???????????????
238,jacky有保固嗎?02
241,迪斯測試
243,好唷
249,測試看看
250,智能轉接
252,滑鼠有保固嗎?
253,84
256,987751
260,掃地機器人有保固嗎?
261,測試
263,但還是有可能
266,轉接
268,ㄋㄧ
276,為什麼沒有
281,???
284,ㄏㄠ
287,好喔
292,測試問題
307,??????
310,我在智能嗎
315,我跟智能講話
318,有題目
323,不要
339,幫我專接真人
344,幫我轉接
346,????
360,轉接話術呢
373,訊息二
375,幫我轉接顧問
378,testtest
388,機器人在嗎?
395,真人在嗎?
398,213
399,測試機測試
400,嗚嗚嗚嗚我😫🏝
404,????????????????
407,轉接顧問
410,???????????
412,有保固嗎?
418,除濕機有保固嗎?
423,在嗎?
435,貼標
438,貼標文字
447,webtest 
449,webtest
455,轉接故摁
462,我要轉接
469,Testggggg
472,Gh 
476,標籤test
478,單獨標籤測試
483,OOOXX
493,卡片訊息
496,002
502,web貼標test
513,谮養
518,卡片訊息2
526,我要被轉接
529,轉接測試
532,😴
534,21213132
541,"傳送貼圖(keyword:warm,hot,summer,shine,Hello,sun,sunny,Good morning,:))"
544,☺️
548,沒關係
550,轉接真人
557,"轉接客服轉接真人
"
571,????????????????????????
574,TTT
575,我要進轉接
578,Hello~
582,天氣怎麼樣？
586,Hello
589,天氣好嗎？
597,有性騷擾防治措施嗎?
599,我想要訂房
601,請問如何訂房？
603,我遇到性騷擾怎麼辦？
604,我遇到性騷擾了
606,491835707678785842
633,🏨📞🚗(line)✉️
635,詢問住房
636,有人在嗎？
637,請問如何checkin
640,請問幾點可以 checkin
642,預訂
643,入住
644,請問如何訂房
648,請問房價是多少
660,为您转接中，请稍后
663,哈哈
664,你是豬
666,我要訂房
668,紅利點數怎麼算？
671,紅利點數能換什麼？
674,如何獲得紅利點數？
679,請問
683,請問一下
685,問問
687,如何使用官網訂房
690,嗨
694,掰
696,靠邀
698,bye
701,hi
703,hey
704,我
705,😊
710,傳送貼圖
712,491864914563694851
715,我要入住
716,請問我要如何入住
723,了解
725,晚上好
727,請問入住與退房的時間是幾點？
730,訂房
735,瘋狂
737,預約
740,預留
742,退房
745,幹你娘
747,CNM
749,NMSL
751,你媽死了
754,操你媽
776,"什麼殘疾人😡

你們知道這個「身障律師」陳俊翰的資歷有多屌嗎😠

- 台大法律/會計雙學位
- 哈佛大學法學碩士
- 密西根大學法學博士
- 律師高考第一名
- 會計師執照

正常人拿到上面任一項都不容易了，何況是重度身障，且人家還全包！

那是怎樣的生命能量與鬥志才能辦到？卻被你們拿來當笑話？

我只能祝福這些人，全家整整齊齊、四肢安好😐"
777,"皮超厚！想必今天寒流他一定不怕冷吧！

【譏諷身障人士堅決不認錯！ 王志安再嗆：共產黨我都不怕】"
778,妳好
780,再見
781,謝謝再見
782,如何申請
785,如何申請發票？
790,跟機器人講話
798,491995721768632530
801,謝謝
804,491995769651069154
808,我要客訴
825,申請電子發票
828,電子發票字軌取號及設定皆需收到電子發票平台通知後，取得帳號密碼進行，建議您可以電話詢問所屬稅局進度喔
829,客訴
837,介紹資廚
839,介紹I beg
841,介紹ichef 
843,Ichef 介紹
846,轉主管
850,客服電話
855,我有發票問題
858,我要舉發
866,找主管
868,消保
871,？？？？
872,？？？
874,天氣如何？
876,天气如何?
885,"你好
"
893,介紹ichef
897,轉真人
913,Hi
915,教煮菜
920,Hello 
940,發票問題
947,我的發票看起來好奇怪喔喔客戶出收的覺得有問題 
948,介紹一下
951,電子發票
962,"申請電子發票
"
975,"我有發票問題
"
995,介紹icash
1000,介紹I chef 
1005,我的發票看起來好奇怪喔
1013,Ichef是什麼
1040,雲端餐廳是什麼
1041,謝謝宜君
1045,我的發票無法使用
1053,費用怎算
1057,介紹chef
1058,天氣好冷哦
1069,我的電子票券不見了
1074,目前沒有了
1075,電子客服服務電話
1079,轉接專人客服
1080,文字客服
1085,直接找真人客服
1090,客訴你們
1097,請提供方案
1103,我真的覺得你們的東西很奇怪我想找你們主管出來
1118,ok
1124,沒事了
1138,幾點
1144,服務時間
1150,服務電話
1152,你們的服務到什麼時間
1158,我是問說你們的服務最晚到什麼時間
1164,服務的時間到什麼時候
1167,台北今天天氣如何
1170,我想問你們的那個電子的發票
1177,介紹iCHEF
1178,真人
1196,服務時段
1197,服務time
1204,哪裡找到LINE Login設定？
1209,尚未建立LINE Login Channel
1212,界少資廚
1221,可以間一下嗎
1224,可以吻一下嗎
1234,安安
1236,你們的福委時間
1239,492137148246917352
1240,"0125 Kai：與申請人確認是要串LINE沒錯，不過要等有空把LINE Login頻道建好再回來重新申請註冊。
0124 Kai：品牌尚未建立LINE Login頻道，申請人表示有空再處理。"
1247,天氣
1264,天氣怎樣
1266,明天天氣怎樣
1268,今天冷嗎
1270,今天熱嗎?
1272,我要穿厚外套嗎?
1274,今天溫度多少
1275,今天氣溫怎樣?
1283,天气如何？
1286,交通
1287,如何前往
1292,捷運站
1294,前往
1296,搭車
1300,退貨
1303,專人客服
1309,專人
1311,喝茶預約
1317,我要掛失
1321,喝水
1322,喝水真的会导致体重增加吗
1324,喝水对身体健康有哪些好处
1331,我的体质喝水也会胖，所以少喝一点水
1334,进食小技巧有那些 ?
1335,我已经很努力吃素了，怎么还是瘦不下来？
1339,"6/18	台北 → 多倫多
6/19-21	加東三日遊
6/22	尼加拉瀑布
6/23	婚禮
6/24	多倫多 → 溫哥華
6/25	溫哥華一日遊
6/26	西雅圖一日遊
6/27	溫哥華 → 台北"
1340,我的体质喝水也会胖，所以少喝一点水？
1343,减肥不要吃碳水化合物就好？
1346,我的体质喝水也会胖
1349,少喝水
1351,不吃快餐食品，为何还发胖
1354,不吃炸鸡，为何还发胖
1356,加入
1359,加入世代人
1363,"加入
"
1366,會員
1367,推薦的商店?
1371,下午茶
1372,特色伴手禮
1373,伴手禮
1382,世代人
1387,我想註冊為會員
1389,推薦的特色店鋪? 買伴手禮? 特色餐飲店? 下午茶店? 酒吧? 喝咖啡?
1392,如何计算孩子是否算肥胖
1396,青少年减重标准
1404,492865225700147304
1405,冰箱保固多久
1406,???????????????????
1407,123123132
1409,"傳送貼圖(keyword:Relaxed,Knocked out,Depressed,addicted)"
1411,492867664588046616
1413,https://lifeclasshk.blogspot.com/2023/07/asiaworks-mad-benchmark-hk-invision.html?m=1&fbclid=IwAR2bSXtLr6ioOLqmTUvX0jAyn4Z9J-jMNh2KDDxruczZq3SOUv9yeWfAqB4_aem_ATsAODEXa7x98p-9o52KXjhH-pA3vTg9y2ffPOscr6-ZPxVKJtCszaoq3pQiGUmU4QHzvaXmGofF-fTxVmTeoJ22
1416,"孕期饮食要注意什么
"
1427,請問兒童怎麼減重?
1429,2-5歲
1433,6-11歲
1435,12-18歲
1442,講話囉
1447,機器人
1451,我也是這樣
1456,hihi
1458,我想查飯店地址
1461,請問飯店的聯絡方式？
1465,查詢永和店
1466,房價
1468,今晚有房嗎？
1471,有人在嗎
1473,有提供加床的房型嗎？
1476,是否有訂房APP？
1481,查詢台北敦南
1483,查詢台北松江
1492,有房嗎？
1500,有提供洗衣機嗎？
1512,機轉
1519,哪兒
1524,同業
1527,同業報價
1529,有提供同業報價嗎？
1531,有跟企業合作嗎
1537,https://ucarer.tw/blog/category/2
1538,493139518200217958
1542,如何到長安店
1544,柯達長安店 有停車位嗎?
1547,請問有提供停車場嗎？
1553,請問長安店有房嗎?
1556,红景天
1559,红景天的功效。
1564,轰天
1576,"哪裡找到LINE Login設定？
"
1580,如何建立並查詢LINE Login Channel
1588,如何查詢LINE Login Channel
1592,"如何查詢LINE Login Channel
"
1601,"哪裡找到Messaging API設定？


"
1605,哪裡找到Messaging API設定？
1620,"哪裡找到Messaging API設定？
"
1650,尚未建立Messaging API Channel
1670,一個Chatbot可以同時串接多個LINE官方帳號嗎？
1674,試用期間可以直接訂閱啟用正式服務嗎？
1677,如何申請訂閱？
1679,沒有收到簡訊驗證碼怎麼辦？
1682,刷卡失敗怎麼辦?
1686,預計多久能收到發票?
1689,"預計多久能收到發票?
"
1692,付款方式有哪些
1703,"如何申請訂閱？
"
1717,我要如何操作平台
1720,"我要如何操作平台
"
1724,吃大量油脂可能营养不均衡，该额外补充营养品吗？
1728,生酮饮食不得已要外食怎么办？
1736,"我的体质喝水很容易胖，所以少喝一点水？
"
1740,喝水会长胖吗？
1743,喝水长胖了怎么办
1751,我体质喝水很容易胖，是不是少喝水？
1755,少喝水 是不是对体质易胖人不好
1764,少喝水，对易胖体质有帮助吗？
1774,易胖体质，喝水也会胖吗？
1778,多喝水对减肥有用吗？
1781,喝水能否避免便秘？
1784,如何保持健康的体重
1788,邓超明
1801,喝水能否预防便秘？
1805,投诉
1808,顾睿杰
1810,稳小关
1812,多喝孕妇奶粉才能补充不足的营养？
1816,补充GABA保健品前的注意事项
1820,"多吃燕窝、鱼翅才能生出健康宝宝？
"
1824,替米沙坦可以和GABA保健品同时服用吗
1827,"多喝鸡精可以养颜美容、补充体力？
"
1829,吃了GABA多久后才能吃压降药？
1832,感冒了能吃GABA保健品吗
1835,GABA保健品多次了一次怎么办
1838,"多喝大骨汤才能补钙？
"
1841,"多吃珍珠粉可以补充钙质？
"
1845,"宠物误食了GABA保健品怎么办
"
1848,"孕期饮食要注意什么？破解怀孕期间的进补迷思
"
1852,茶胺酸的每日吃多少才够?
1855,"孕期哪些食物不能吃
"
1858,一次吃了400mg的茶胺酸会出事吗
1861,"孕吐、害喜怎么办？
"
1865,茶胺酸的最佳服用时间是什么时候
1868,茶胺酸一天吃两次可以吗
1871,"孕妇为什么容易抽筋？
"
1875,茶胺酸对人体有什么益处
1878,"孕妇为什么会频尿？
"
1882,"过量服食茶胺酸是否有副作用
"
1885,"孕期经常便秘怎么办？
"
1888,茶胺酸有甚么作用与好处?
1891,"怀孕期间分泌物多正常吗？孕期私密不适怎么办？
"
1895,茶胺酸吃了会不会睡不着觉
1898,"茶胺酸是从哪里提取的
"
1901,青少儿能服食茶胺酸吗？
1902,"孕期如何保养皮肤？
"
1908,老年人能服用茶胺酸吗？
1911,"如何避免孕期长妊娠纹？
"
1915,癌症患都可以使用茶胺酸吗？
1918,"在怀孕初期可以补充哪些孕妇保健食品，来保持孕期营养健康？
"
1921,辅酶Q10什么时候吃？
1924,"叶酸和钙两种孕妇保健食品是不是不能一起吃？
"
1927,辅酶Q10吃次一次怎么办？
1930,吃了辅酶Q10后心跳加快是为什么？
1933,你们的辅酶Q10每粒的含量是多少
1936,"孕妇怀孕后经常排便不顺，是因为补充含铁质的孕妇保健食品吗？
"
1940,心肌炎是否合适使用辅酶Q10
1943,"孕妇保健食品要饭前吃，还是饭后吃?
"
1947,叶黄素可以和辅酶Q10同时服用吗
1950,"孕期吃孕妇营养品DHA有什么好处？该吃多少？
"
1953,"怀孕期间该补充多少鱼油才好?
"
1956,"孕妇在怀孕期间需要补充卵磷脂吗？
"
1959,"孕吐时强迫自己吃东西吗？
"
1962,"可以摄取咖啡因的饮料吗？
"
1965,"经烹调处理过后的米酒料理，可以吃吗？
"
1968,"是否该避免食用像是生鱼片、生菜、泡菜等生食？
"
1971,"植物奶是否可替代牛奶? 吃牛奶会胀气，可不可以先忽略不吃？
"
1974,"如何透过饮食来减少妊娠高血压的发生风险？
"
1976,"如何避免便秘？
"
1979,"怀孕过程中，有哪些营养素建议补充？
"
1982,"5-HTP的功效有哪些？
"
1985,"5-HTP副作用有哪些？
"
1988,"5-HTP是什么
"
1992,"5-HT可以帮助减重吗?
"
1996,"Gaba是什么?
"
1999,"Gaba有副作用吗?
"
2003,"NMN功效是甚么?，为什么要补充NMN？
"
2008,"NMN是什么？
"
2010,"PQQ 的实证功效
"
2015,"PQQ 是什么？
"
2018,"巴西莓的营养成分？
"
2022,"巴西莓功效、好处有哪些？
"
2027,"巴西莓是什么？产地在哪？
"
2030,"白藜芦醇是什么？白藜芦醇植物来源
"
2034,網訊公司簡介
2038,"網訊公司簡介
"
2048,網訊企業文化價值
2052,"網訊企業文化價值
"
2072,奶粉如何补充营养的？
2075,網訊發展里程碑
2079,孕妇喝奶粉有营养吗？
2082,孕妇营养不足怎么办？
2085,孕妇奶粉有什么用？
2088,孕妇补充营养靠什么？
2091,"如何生出健康宝宝？
"
2094,生出健康宝宝需要多吃什么？
2099,多吃燕窝、鱼翅有什么用？
2100,多吃燕窝、鱼翅对宝宝有什么帮助？
2104,燕窝、鱼翅的功效
2107,养颜美容、补充体力需要吃什么？
2110,"经常吃力怎么办？
"
2112,皮肤暗淡无光怎么办？
2114,多喝鸡精有什么用？
2116,鸡精的功效？
2119,缺钙需要吃什么？
2122,如何补钙？
2124,晚上经常腿抽筋怎么办？
2127,大骨汤的功效？
2130,多喝大骨汤有什么用？
2133,大骨汤能补钙吗？
2141,孕妇怎么补钙
2144,珍珠粉的功效？
2147,多吃珍珠粉有什么用？
2150,孕期怎么注意饮食
2151,網訊獲得的認證
2157,孕期该怎么吃
2160,怀孕期间吃什么好
2163,孕期能吃胆固醇与药材吗？
2165,孕期吃什么不会吐
2168,"孕期什么不能吃
"
2171,孕期吃什么食物会难受
2174,孕期能喝酒吗？
2177,孕期能喝咖啡吗
2181,孕期能吃刺身和寿司吗
2186,怀孕吐的厉害怎么办？
2189,孕期吃什么都吐
2192,孕期吃不下东西怎么办？
2195,怀孕没胃口
2198,怀孕不吃也想吐
2201,怀孕腿抽经
2203,怀孕晚上经常腿抽经
2206,孕妇晚上抽经疼醒
2209,孕妇抽筋疼
2212,抽筋
2214,孕妇尿多
2217,怀孕尿特别多
2221,網訊提供什麼服務？
2225,怀孕尿尿多
2228,孕妇厕所上的多
2231,孕妇经常上厕所
2232,辅酶Q10是什么？
2239,辅酶Q10有副作用吗？
2243,怀孕拉不出怀孕拉不出
2245,怀孕拉不出
2247,什么物质含有辅酶Q10？
2248,"網訊提供什麼服務？
"
2249,怀孕拉屎难受
2256,孕妇便秘
2261,怀孕排便不畅
2264,孕妇拉粑粑不顺利
2267,怀孕下面不舒服
2270,孕妇分泌物变多了
2274,怀孕的时候下面分泌物比较多
2277,如何加入網訊
2278,孕妇下面分泌很多东西
2282,.怀孕期间用什么清洁比较好
2284,"如何加入網訊
"
2288,怀孕后皮肤变差了
